10
id,name,type,xposition,ypositon,isburning
1,155教学楼,TEACHING_BUILDING,1.7,5.13,1
2,109宿舍,DORMITORY,2.03,9.19,0
3,142教学楼,TEACHING_BUILDING,3.51,4.88,0
4,121教学楼,TEACHING_BUILDING,3.95,3.89,1
5,出口,EXIT,0.28,5.26,0
6,出口,EXIT,5.85,9.92,0
7,113宿舍,DORMITORY,4.38,6.57,1
8,出口,EXIT,1.67,2.76,0
9,185宿舍,DORMITORY,7.24,1.11,0
10,161宿舍,DORMITORY,1.33,7.41,1
33
begin_id,end_id,type,congestion,distance,riskLevel,intermediate_point_x,intermediate_point_y
1,5,road,0.2,6.4,4,0.28,5.13
6,5,stair,0.8,10.55,1,0.28,9.92
5,3,road,0.3,4.6,0,3.51,5.26
9,10,corridor,0.9,11.99,7,1.33,1.11
3,10,road,1.0,8.26,7,1.33,4.88
9,7,stair,0.8,5.05,7,4.38,1.11
8,6,corridor,0.4,8.25,9,1.67,9.92
2,7,stair,0.7,4.54,2,4.38,9.19
1,6,stair,0.8,8.22,1,1.7,9.92
5,9,corridor,0.5,13.09,9,0.28,1.11
4,10,road,0.1,8.7,4,3.95,7.41
2,10,stair,0.9,6.78,4,2.03,7.41
7,10,road,0.9,9.13,3,4.38,7.41
10,8,stair,0.9,1.43,7,1.67,7.41
9,6,corridor,0.4,5.46,0,5.85,1.11
10,1,corridor,0.1,3.8,3,1.7,7.41
9,8,road,0.5,6.66,3,7.24,2.76
4,8,stair,0.7,3.37,1,1.67,3.89
9,2,corridor,0.2,12.37,9,7.24,9.19
1,8,road,0.7,1.12,3,1.67,5.13
1,7,corridor,0.1,4.87,9,4.38,5.13
9,3,corridor,0.8,5.1,6,3.51,1.11
3,6,corridor,0.4,6.41,9,5.85,4.88
5,2,road,0.9,8.91,0,0.28,9.19
2,6,stair,0.1,7.89,7,5.85,9.19
3,4,road,0.8,0.5,9,3.95,4.88
8,5,corridor,0.2,6.37,4,1.67,5.26
2,8,corridor,0.9,1.45,2,1.67,9.19
7,6,road,0.8,5.54,7,4.38,9.92
10,5,corridor,0.7,6.03,5,0.28,7.41
8,3,stair,0.1,3.21,10,3.51,2.76
9,4,corridor,0.0,3.35,8,7.24,3.89
4,6,road,0.8,5.97,5,3.95,9.92
