10
id,name,type,xposition,ypositon,isburning
1,148宿舍,DORMITORY,5.16,7.02,1
2,出口,EXIT,6.07,7.25,0
3,160教学楼,TEACHING_BUILDING,6.93,1.67,0
4,185宿舍,DORMITORY,9.92,9.01,0
5,172教学楼,TEACHING_BUILDING,5.74,3.89,0
6,139宿舍,DORMITORY,0.87,5.29,1
7,166宿舍,DORMITORY,8.01,3.09,1
8,126教学楼,TEACHING_BUILDING,4.75,5.82,0
9,出口,EXIT,6.37,5.09,0
10,134教学楼,TEACHING_BUILDING,9.71,0.94,1
19
begin_id,end_id,type,congestion,distance,riskLevel,intermediate_point_x,intermediate_point_y
4,3,stair,0.0,8.25,1,9.92,1.67
10,1,corridor,0.3,6.41,3,5.16,0.94
6,7,corridor,0.2,12.06,1,0.87,3.09
5,9,stair,0.2,1.91,6,5.74,5.09
6,9,corridor,0.3,6.78,6,0.87,5.09
10,5,corridor,0.7,5.82,10,5.74,0.94
6,10,road,0.7,17.61,5,9.71,5.29
6,3,stair,0.5,11.32,7,0.87,1.67
7,3,corridor,0.6,6.34,7,6.93,3.09
4,10,corridor,0.2,8.98,6,9.92,0.94
2,6,stair,0.1,9.62,1,6.07,5.29
2,10,stair,0.4,12.41,8,6.07,0.94
2,5,stair,0.7,2.18,5,6.07,3.89
1,2,stair,0.7,2.09,3,5.16,7.25
4,6,road,0.8,13.47,5,9.92,5.29
9,3,stair,0.7,5.82,7,6.93,5.09
8,5,corridor,0.0,2.84,1,5.74,5.82
9,1,stair,0.8,3.07,4,6.37,7.02
10,3,stair,0.7,8.04,8,6.93,0.94
