10
id,name,type,xposition,ypositon,isburning
1,186宿舍,DORMITORY,7.29,3.09,1
2,184宿舍,DORMITORY,4.1,9.24,1
3,166教学楼,TEACHING_BUILDING,3.95,9.57,0
4,出口,EXIT,5.3,9.21,0
5,200教学楼,TEACHING_BUILDING,6.54,0.95,1
6,142教学楼,TEACHING_BUILDING,0.42,0.41,0
7,118教学楼,TEACHING_BUILDING,1.79,7.35,0
8,192教学楼,TEACHING_BUILDING,8.35,5.86,0
9,143教学楼,TEACHING_BUILDING,5.76,4.74,0
10,105教学楼,TEACHING_BUILDING,2.54,1.54,0
36
begin_id,end_id,type,congestion,distance,riskLevel,intermediate_point_x,intermediate_point_y
4,2,road,0.6,6.34,9,5.3,9.24
10,4,corridor,0.8,6.67,3,2.54,9.21
1,9,corridor,0.0,2.55,0,7.29,4.74
8,5,stair,0.1,7.4,1,8.35,0.95
2,6,road,0.8,3.69,1,0.42,9.24
4,3,corridor,0.3,6.97,9,5.3,9.57
7,1,road,0.8,9.7,6,7.29,7.35
2,1,road,0.6,7.39,8,4.1,3.09
7,10,stair,0.7,1.75,5,2.54,7.35
9,10,corridor,0.7,4.22,4,5.76,1.54
3,10,road,0.3,2.41,1,3.95,1.54
7,5,stair,1.0,10.34,8,6.54,7.35
10,8,corridor,0.8,8.3,3,8.35,1.54
4,1,corridor,0.4,6.19,7,7.29,9.21
2,5,stair,0.6,8.03,3,6.54,9.24
6,5,stair,0.3,11.71,5,0.42,0.95
2,7,road,0.8,7.87,7,1.79,9.24
10,6,corridor,0.9,2.13,9,0.42,1.54
2,3,stair,1.0,5.77,3,3.95,9.24
4,9,road,0.7,1.48,7,5.3,4.74
3,7,stair,0.4,7.72,4,1.79,9.57
10,1,corridor,0.7,8.95,5,7.29,1.54
2,9,stair,0.8,2.68,3,5.76,9.24
3,9,corridor,0.1,2.83,4,3.95,4.74
3,5,stair,0.4,8.18,9,3.95,0.95
6,1,corridor,0.3,11.07,9,0.42,3.09
6,8,corridor,0.1,10.42,1,0.42,5.86
8,4,stair,0.1,6.96,5,5.3,5.86
1,8,road,0.6,3.55,8,7.29,5.86
6,9,stair,0.4,6.36,1,0.42,4.74
8,3,road,0.4,10.02,9,3.95,5.86
10,5,road,0.4,9.59,4,6.54,1.54
6,7,corridor,0.2,6.93,0,0.42,7.35
3,1,stair,0.3,7.54,4,3.95,3.09
3,6,corridor,0.1,3.54,8,0.42,9.57
10,2,corridor,0.8,6.7,8,2.54,9.24
