id,name,type,position,isburning
1,188教学楼,TEACHING_BUILDING,9 5,0
2,143教学楼,TEACHING_BUILDING,7 2,0
3,172教学楼,TEACHING_BUILDING,4 8,0
4,出口,EXIT,0 6,0
5,186教学楼,TEACHING_BUILDING,5 10,0
6,169教学楼,TEACHING_BUILDING,1 2,0
7,147教学楼,TEACHING_BUILDING,6 7,0
8,194教学楼,TEACHING_BUILDING,5 5,1
9,131宿舍,DORMITORY,2 4,1
10,出口,EXIT,9 3,0
11,150教学楼,TEACHING_BUILDING,2 6,1
12,149宿舍,DORMITORY,0 4,1
13,139教学楼,TEACHING_BUILDING,0 8,0
14,出口,EXIT,5 10,0
15,160宿舍,DORMITORY,2 3,0
16,出口,EXIT,3 4,0
17,169教学楼,TEACHING_BUILDING,7 4,0
18,170教学楼,TEACHING_BUILDING,4 8,0
19,136教学楼,TEACHING_BUILDING,6 2,0
20,106教学楼,TEACHING_BUILDING,3 1,0
21,115教学楼,TEACHING_BUILDING,9 6,0
22,106宿舍,DORMITORY,2 10,0
23,110宿舍,DORMITORY,7 3,1
24,171宿舍,DORMITORY,8 0,1
25,137宿舍,DORMITORY,7 10,1
26,119教学楼,TEACHING_BUILDING,1 6,0
27,132宿舍,DORMITORY,10 2,0
28,156宿舍,DORMITORY,4 6,0
29,146教学楼,TEACHING_BUILDING,8 0,0
30,163宿舍,DORMITORY,2 8,1
