33
id,name,type,xposition,ypositon,isburning
1,183宿舍,DORMITORY,9.18,9.67,0
2,110教学楼,TEACHING_BUILDING,17.34,7.04,1
3,164教学楼,TEACHING_BUILDING,10.09,3.72,0
4,159宿舍,DORMITORY,10.06,3.4,0
5,167教学楼,TEACHING_BUILDING,5.59,5.48,1
6,出口,EXIT,17.07,8.55,0
7,165宿舍,DORMITORY,16.98,9.14,1
8,124宿舍,DORMITORY,15.04,7.56,0
9,出口,EXIT,9.85,13.5,0
10,出口,EXIT,3.8,16.03,0
11,101教学楼,TEACHING_BUILDING,11.22,1.78,0
12,130教学楼,TEACHING_BUILDING,13.51,13.02,1
13,中转点,intermediate,17.34,9.14,0
14,中转点,intermediate,9.18,3.72,0
15,中转点,intermediate,5.59,9.14,0
16,中转点,intermediate,3.8,8.55,0
17,中转点,intermediate,10.09,5.48,0
18,中转点,intermediate,17.07,9.14,0
19,中转点,intermediate,10.06,7.04,0
20,中转点,intermediate,9.85,13.02,0
21,中转点,intermediate,17.07,3.72,0
22,中转点,intermediate,9.85,7.04,0
23,中转点,intermediate,15.04,5.48,0
24,中转点,intermediate,17.07,1.78,0
25,中转点,intermediate,9.85,7.56,0
26,中转点,intermediate,11.22,13.02,0
27,中转点,intermediate,9.85,5.48,0
28,中转点,intermediate,10.06,16.03,0
29,中转点,intermediate,17.07,13.5,0
30,中转点,intermediate,9.18,13.5,0
31,中转点,intermediate,5.59,7.04,0
32,中转点,intermediate,11.22,13.5,0
33,中转点,intermediate,11.22,16.03,0
42
begin_id,end_id,type,congestion,distance,riskLevel
7,13,road,0.6,0.36,10
13,2,road,0.6,2.1,10
3,14,corridor,0.7,0.91,5
14,1,corridor,0.7,5.95,5
5,15,stair,0.3,3.66,2
15,7,stair,0.3,11.39,2
6,16,stair,0.6,13.27,7
16,10,stair,0.6,7.48,7
3,17,stair,0.4,1.76,8
17,5,stair,0.4,4.5,8
7,18,corridor,0.5,0.09,7
18,6,corridor,0.5,0.59,7
2,19,stair,0.6,7.28,4
19,4,stair,0.6,3.64,4
12,20,corridor,0.2,3.66,7
20,9,corridor,0.2,0.48,7
6,21,stair,0.0,4.83,3
21,3,stair,0.0,6.98,3
9,22,corridor,0.8,6.46,6
22,2,corridor,0.8,7.49,6
8,23,stair,1.0,2.08,1
23,5,stair,1.0,9.45,1
6,24,corridor,0.4,6.77,3
24,11,corridor,0.4,5.85,3
8,25,corridor,0.5,5.19,5
25,9,corridor,0.5,5.94,5
11,26,stair,0.7,11.24,10
26,12,stair,0.7,2.29,10
9,27,road,0.3,8.02,6
27,5,road,0.3,4.26,6
10,28,road,0.8,6.26,7
28,4,road,0.8,12.63,7
9,29,corridor,0.8,7.22,4
29,6,corridor,0.8,4.95,4
1,30,stair,0.5,3.83,10
30,9,stair,0.5,0.67,10
5,31,road,0.9,1.56,7
31,2,road,0.9,11.75,7
11,32,road,0.5,11.72,7
32,9,road,0.5,1.37,7
10,33,stair,0.7,7.42,4
33,11,stair,0.7,14.25,4
